soil_type,ph,ec,oc,av_p,av_k,av_s,av_zn,av_b,av_fe,av_cu,av_mn
Sandy,5.7,0.04,0.8,10.2,18,4,0.14,0.168,2.26,5.27,12.98
Sandy,5.5,0.04,0.79,12.1,24,2,3.71,0.192,3.45,5.34,12.39
Sandy,5.5,0.04,0.74,15.5,13,2,3.39,0.048,2.86,5.18,4.36
Sandy,5.5,0.05,0.8,11.7,23,3,3.82,0.168,3.81,2.9,4.37
Sandy,5.5,0.04,1.08,20.9,34,196,0.89,0.36,21.06,0.241,1.25
Sandy,5.5,0.03,1.69,14.1,36,210,0.97,0.384,33.68,0.987,3.25
Sandy,5.5,0.04,0.82,12.1,35,169,0.78,0.504,40.25,1.11,2.36
Sandy,5.4,0.04,0.82,13.6,34,175,0.65,0.288,21.35,1.18,2.25
Sandy,5.2,0.04,1.14,23.8,28,231,0.92,0.528,63.12,1.335,3.36
Sandy,5,0.04,0.85,18.9,15,220,0.7,0.336,37.2,1.553,5.32
Sandy,5.1,0.04,0.8,18.5,7,51,0.72,0.36,12.29,1.894,8.32
Sandy,5,0.04,0.81,23.3,18,99,0.92,0.456,5.27,2.05,7.1
Sandy,4.9,0.28,0.71,21.9,12,109,0.86,0.36,16.2,1.429,6.32
Sandy,5,0.14,0.76,17.5,16,128,0.72,0.408,29.08,1.087,5
Sandy,3.8,0.05,0.83,12.6,23,62,0.75,0.288,20.69,0.528,2.3
Sandy,4.3,0.05,0.74,12.6,19,32,0.87,2.904,22.69,0.28,3.21
Sandy,5,0.09,0.68,11.2,18,32,0.92,0.528,15.68,0.311,6.321
Sandy,4.9,0.08,0.72,10.2,26,49,0.26,0.6,15.98,0.528,3.2
Sandy,5,0.06,0.84,12.6,28,38,0.99,0.744,12.5,0.714,4.3
Sandy,4.6,0.06,0.69,12.6,27,64,0.59,0.624,14.78,0.776,5.32
Sandy,4.9,0.04,0.91,9.2,28,20,0.66,0.408,12.35,1.18,8.2
Sandy,5,0.03,0.66,7.3,34,115,0.69,0.264,16.58,0.28,6.32
Sandy,4.9,0.05,0.68,11.2,31,168,1.31,0.312,15.27,0.311,5.21
Sandy,5,0.04,0.71,13.1,31,152,0.76,0.288,12.23,0.59,4.23
Sandy,6.9,0.34,0.71,9.2,14,2,3.48,1.416,25.17,4.91,4.33
Sandy,6.9,0.32,0.09,11.2,17,101,1.09,1.32,21,2.98,4.42
Sandy,7,0.35,0.83,7.8,18,47,0.65,2.064,3.22,7.14,5.35
Sandy,6.9,0.41,0.09,11.7,19,4,3.2,1.728,12.9,4.6,4.64
Sandy,6.9,0.33,1.04,12.1,17,2,0.17,0.216,24.14,9.19,3.71
Sandy,7,0.28,1.16,11.2,14,43,2.13,1.968,25.43,10.21,4.52
Sandy,6.9,0.36,0.79,11.7,42,2,1.1,2.304,22.69,8.2,10.6
Sandy,6.9,0.38,0.88,14.6,51,4,0.89,2.088,17.69,2.91,4.2
Sandy,7,0.42,1.79,10.7,42,3,0.88,1.488,23,8.2,9.88
Sandy,7,0.4,0.83,9.2,38,2,0.85,1.824,18.67,3.23,5.18
Sandy,7,0.42,0.75,9.7,42,2,1.31,0.576,23.71,6.82,16.09
Sandy,7.1,0.35,1.02,11.2,42,3,0.86,3.72,29.08,3.29,3.25
Sandy,7.1,0.34,1.07,12.1,39,2,0.9,6.408,20.69,5.3,14.19
Sandy,7.1,0.37,1.21,11.7,38,4,0.88,5.088,22.69,8.2,7.9
Sandy,5.4,0.22,0.92,7.3,17,2,1.05,0.432,24.29,8.06,6.71
Sandy,5.4,0.19,0.99,5.3,17,2,1.02,0.048,30.21,3.95,2.8
Sandy,6.7,0.28,0.79,4.9,17,3,0.7,0.336,24,5.58,11.8
Sandy,6.8,0.12,0.08,4.4,42,2,0.93,0.264,19.06,2.87,4.31
Sandy,6.9,0.28,0.46,3.9,17,4,0.88,0.072,19.91,2.97,4.41
Sandy,6.7,0.25,0.75,5.3,17,3,0.7,0.408,17.49,3.47,11.08
Sandy,5.1,0.03,0.76,8.7,17,2,0.92,0.072,8.985,0.342,8.526
Sandy,5,0.03,0.62,7.8,18,2,0.81,0.048,5.88,0.466,2.36
Sandy,4.9,0.04,0.6,8.7,16,2,0.76,0.048,9.178,1.46,3.321
Sandy,5,0.04,0.71,8.7,17,2,0.69,0.12,15.18,1.894,5.26
Sandy,4.8,0.03,0.83,11.2,15,3,0.72,0.144,15.68,0.963,2.36
Sandy,4.8,0.09,1.21,4.4,19,2,0.92,0.168,17,1.335,3.36
Sandy,4.8,0.07,0.85,6.3,20,3,1.06,0.144,15.8,0.528,6.31
Sandy,4.7,0.09,1.23,5.3,26,2,0.88,0.096,15,1.491,5.21
Sandy,5,0.11,1.19,4.4,23,2,0.92,0.144,18.44,1.335,8.32
Sandy,4.9,0.12,1.16,4.4,23,3,0.92,0.144,15.89,0.714,9.36
Sandy,5,0.13,1.15,4.9,24,4,0.67,0.216,7.693,0.776,4.36
Sandy,5.5,0.12,1.02,5.3,23,3,0.86,0.408,15.98,0.558,8.32
Sandy,6.6,0.11,1.13,3.4,21,2,0.92,1.68,15.12,0.68,5.21
Sandy,5.8,0.11,1.18,11.2,23,3,1.25,2.808,13.28,0.427,4.69
Sandy,6.1,0.11,0.98,9.7,26,2,1.39,3.048,14.97,0.452,9.25
Sandy,6.5,0.1,1.12,10.2,24,2,0.56,2.544,18.94,0.658,14.36
Sandy,6.6,0.1,1.25,13.1,26,3,0.61,4.032,35.9,0.715,9.32
Sandy,6.4,0.11,0.95,10.7,27,2,0.72,3.216,15.98,0.21,14.39
Sandy,6.4,0.1,0.95,8.7,25,2,0.3,1.968,51.24,1.2,6.39
Sandy,6.3,0.1,1.25,8.3,24,3,0.39,2.088,1.12,5.84,4.74
Sandy,4.8,0.05,0.75,21.9,18,494,0.7,0.048,50.44,0.994,2.5
Sandy,4.8,0.07,0.95,9.7,15,403,0.43,0.072,39.2,1.144,1.404
Sandy,4.6,0.07,1.2,3.4,43,287,0.25,0.096,27.49,0.511,1.507
Sandy,4.5,0.08,1.15,2.9,42,409,0.19,0.048,27.17,0.511,1.336
Sandy,4.7,0.06,0.85,2.4,37,325,0.24,0.48,29,0.608,1.438
Sandy,4.7,0.07,0.9,3.4,42,348,0.27,0.72,28.84,0.633,1.507
Sandy,4.6,0.06,1.02,6.8,28,520,0.34,0.048,29.56,0.633,1.336
Sandy,4.5,0.04,1.25,3.9,36,1737,0.31,0.096,29.64,0.633,1.507
Sandy,4.5,0.06,0.95,13.1,33,2425,0.32,0.048,26.85,0.608,1.438
Sandy,4.4,0.06,0.83,12.1,24,1777,0.42,0.072,31.31,0.803,1.815
Sandy,4.5,0.1,0.92,4.9,15,510,0.35,0.12,31,0.876,1.404
Sandy,4.7,0.06,0.86,3.4,35,175,0.27,0.048,28.84,0.608,1.718
Sandy,4.9,0.06,0.77,2.4,32,75,0.23,0.888,29.08,0.56,1.575
Sandy,5,0.02,0.92,3.4,48,223,0.28,1.68,25.5,0.584,1.438
Sandy,4.8,0.04,0.73,2.9,58,577,0.26,1.92,26.85,0.511,1.678
Sandy,4.9,0.05,0.85,10.7,75,511,0.24,2.304,30.44,0.414,1.507
Sandy,4.8,0.05,0.76,4.9,75,294,0.55,0.552,30.68,0.535,1.541
Sandy,5,0.04,1.02,1,31,166,0.34,0.048,28.37,0.535,1.815
Sandy,5.1,0.05,0.96,8.7,40,147,0.36,0.144,27.81,0.711,1.781
Sandy,5,0.06,0.92,2.4,44,90,0.27,0.648,26.53,0.56,1.664
Sandy,5.1,0.08,0.8,21.4,10,7,0.42,1.944,31.49,1.556,3.535
Sandy,5.2,0.12,1.23,14.6,24,30,0.62,3.408,33.09,1.46,3.098
Sandy,5.3,0.12,1.14,13.6,20,37,0.85,0.504,33.33,1.27,3.226
Sandy,4.6,0.13,1,13.1,12,34,0.66,0.312,31.24,0.698,2.738
Sandy,4.6,0.13,1.03,8.3,5,33,0.59,0.048,28.43,0.635,2.172
Sandy,5,0.13,0.73,14.1,11,47,0.67,0.024,28.67,0.794,2.198
Sandy,5,0.13,0.74,14.1,9,50,0.63,0.048,26.69,0.73,2.121
Sandy,5.1,0.13,1.24,6.3,12,28,0.55,0.024,35.18,1.651,2.095
Sandy,5,0.13,1.46,7.8,15,29,0.36,0.048,34.38,1.937,2.929
Sandy,5,0.12,1.28,33.5,13,10,0.57,0.384,35.98,2.222,2.378
Sandy,5.3,0.15,1.01,11.2,17,58,0.47,0.072,34.78,1.683,1.967
Sandy,5,0.1,0.73,8.3,13,40,0.31,0.12,31.24,2.238,3.329
Sandy,5,0.09,0.68,6.8,12,35,0.31,0.048,35.02,2.238,3.817
Sandy,4.8,0.12,1.07,8.3,16,22,0.37,0.288,32.13,1.492,2.275
Sandy,5,0.11,1.34,8.3,15,14,0.27,0.048,35.18,1.397,1.849
Sandy,5.4,0.12,1.32,9.2,19,22,0.27,0.048,31.16,1.46,1.5
Sandy,4.8,0.1,0.68,7.3,15,25,0.31,0.024,28.76,1.429,3.638
Sandy,5,0.09,0.65,5.8,16,28,0.32,0.048,31.65,1.429,3.997
Sandy,5,0.09,0.74,5.3,14,32,0.31,0.024,32.85,1.587,3.92
Sandy,5,0.08,0.83,4.9,31,30,0.3,0.048,35.98,1.302,4.717
Sandy,6.5,0.06,0.06,5.8,64,2,0.9,0.048,20.1,3.58,4.51
Sandy,6,0.05,0.59,3.9,22,2,0.79,0.048,24.08,4.22,7.92
Sandy,5.7,0.04,0.53,4.4,25,28,2.12,0.096,23.51,5.56,3.57
Sandy,5.1,0.15,0.95,3.9,41,2,0.64,0.072,20.3,4.47,8.64
Sandy,5,0.16,0.61,4.4,22,3,1.16,0.048,26.21,11.76,17.43
Sandy,5.5,0.08,0.56,3.9,42,4,0.23,0.072,22.68,4.67,3.57
Sandy,5.5,0.06,0.58,3.9,64,2,1.17,0.072,28.1,4.19,7.12
Sandy,6.6,0.24,0.63,3.4,17,2,3.01,0.576,25.45,5.08,7.79
Sandy,6.8,0.25,0.72,3.9,17,3,1.31,0.072,22.4,3.92,26.3
Sandy,6.9,0.08,0.49,3.9,39,2,0.65,0.096,28.68,2.06,4.67
Sandy,6.3,0.06,0.15,4.4,21,2,0.66,0.552,25.94,2.51,13.69
Sandy,5.9,0.05,0.53,3.9,28,2,0.7,0.264,22.2,4.51,16.77
Sandy,5.8,0.05,0.49,4.4,32,3,0.85,0.048,22.84,4.01,9.4
Sandy,5.8,0.05,0.67,3.9,32,4,0.92,0.096,29.34,3.87,6.18
Sandy,6,0.08,1.21,3.4,28,2,0.72,0.12,26.84,3.43,5.69
Sandy,6.9,0.16,0.97,14.1,37,3,1.2,3.048,30.75,3.59,3.82
Sandy,7,0.23,1.15,14.6,32,2,0.79,5.04,27.73,3.88,5.38
Sandy,7,0.27,1.24,14.1,36,6,2.47,4.248,25.97,3.81,9.66
Sandy,6.6,0.1,0.63,3.4,40,4,1.15,0.264,24.64,1.45,9.85
Sandy,5.9,0.05,1.03,4.4,54,2,0.97,0.096,21.51,1.33,10.57
Sandy,5.3,0.05,1.14,13.1,33,61,0.89,0.048,11.8,0.304,9.36
Sandy,5.2,0.05,1.15,18,31,69,1.06,0.096,6.27,1.706,4.25
Sandy,5.3,0.04,1.13,17,29,53,0.76,0.12,48.77,2.009,2.121
Sandy,5.3,0.04,1.21,17.5,27,63,0.88,0.144,16.27,1.799,2.095
Sandy,5.4,0.04,1.24,18.9,32,58,0.92,0.504,35.48,1.075,2.26
Sandy,4.7,0.15,1.02,18,30,46,1.12,0.48,24.98,0.841,8.32
Sandy,2.9,1.36,0.94,15.5,25,56,0.89,0.36,16.28,0.818,1.236
Sandy,4.5,0.22,1.13,17,31,56,1.2,0.384,20.5,1.192,6.214
Sandy,5.1,0.09,1.39,18,32,88,0.68,0.408,12.94,0.892,5.326
Sandy,5.2,0.07,1.12,15.5,48,80,1.06,0.288,23.2,1.051,3.265
Sandy,5.1,0.06,1.35,16.5,38,65,1.26,0.048,43.12,1.075,4.215
Sandy,5.2,0.05,1.28,17,33,56,0.68,0.12,15.67,1.051,3.62
Sandy,5.2,0.05,1.14,15.1,34,92,1.72,0.144,21.62,1.1,9.32
Sandy,5.3,0.05,1.78,5.8,30,39,1.2,0.36,23.71,0.89,5.326
Sandy,5.3,0.05,1.65,6.3,26,32,0.68,0.288,29.08,0.663,4.25
Sandy,5.7,0.08,1.7,6.8,54,41,0.89,0.504,20.69,0.225,5.23
Sandy,5.4,0.17,1.66,5.8,51,44,0.76,0.552,22.69,0.244,2.36
Sandy,5.1,0.28,0.68,2.4,16,34,0.88,0.048,24.29,0.358,2.947
Sandy,5.5,0.1,0.94,3.4,22,46,0.92,0.096,30.21,0.611,2.36
Sandy,5.5,0.06,1.22,6.3,27,106,0.92,0.12,24.29,0.378,3.25
Sandy,6.6,0.17,1.06,7.8,16,2,0.38,0.84,4.5,2.61,4.27
Sandy,6.7,0.2,1.38,9.2,18,4,0.38,0.36,2.01,1.97,4.04
Sandy,6,0.25,1.59,8.7,83,3,0.32,0.312,3.18,9.07,9.88
Sandy,5.9,0.24,1.5,7.3,66,2,0.45,0.096,1.83,9.38,10.22
Sandy,5.8,0.17,1.02,4.9,39,2,0.32,0.048,4.03,11.18,12.43
Sandy,5.4,0.16,0.86,8.3,21,3,0.25,0.072,3.35,9.99,11.3
Sandy,5.4,0.16,1.02,5.8,19,4,0.35,0.12,2.81,10.55,11.78
Sandy,5.5,0.1,0.84,6.3,11,2,1.25,0.144,6.01,6.3,29.54
Sandy,5.4,0.11,0.88,7.8,15,2,0.87,0.96,2.98,6.06,27.96
Sandy,5.3,0.13,1.03,8.7,14,3,0.9,0.144,6.08,4.84,25.1
Sandy,5.3,0.13,0.91,4.9,16,2,0.21,0.048,0.78,1.07,1.22
Sandy,5.2,0.15,0.9,7.3,13,4,0.23,0.696,3.33,2.13,2.57
Sandy,5.5,0.1,0.97,6.3,14,2,0.64,0.096,1.29,2.6,3.05
Sandy,5.9,0.2,1.73,9.2,71,2,0.23,0.768,3.8,2.4,2.57
Sandy,5.9,0.22,1.14,7.8,59,3,0.64,0.384,2.52,2.24,2.57
Sandy,5.9,0.23,1.39,5.3,63,2,0.43,0.648,1.65,2.6,2.21
Sandy,5.6,0.23,0.94,4.9,36,2,0.42,0.048,3.51,2.1,2.31
Sandy,5.5,0.21,0.96,5.8,36,4,0.78,0.072,0.78,2.56,2.57
Sandy,5.5,0.22,0.92,6.3,34,2,0.63,0.288,1.57,2.25,3.19
Sandy,5.6,0.22,0.8,4.4,33,2,0.18,0.168,2.88,2.2,2.77
Sandy,5.1,0.08,1.48,2.4,24,13,3.34,1.08,41.43,11.65,5.034
Sandy,4.7,0.09,0.67,2.9,41,29,0.64,0.12,32.51,1.776,3.014
Sandy,4.8,0.1,0.69,1.5,50,35,0.59,0.936,31.31,0.827,2.397
Sandy,4.6,0.11,0.75,7.3,45,40,0.51,1.08,27.49,0.803,2.877
Sandy,4.7,0.1,0.7,3.4,44,47,0.54,0.504,30.28,0.876,2.74
Sandy,4.6,0.1,0.69,2.9,53,34,0.45,0.36,30.2,0.9,2.603
Sandy,4.7,0.11,0.91,4.4,52,41,0.49,0.696,27.17,0.73,2.705
Sandy,4.7,0.15,0.58,2.4,39,53,0.49,1.416,29.08,0.73,2.534
Sandy,4.6,0.11,0.72,7.3,55,33,0.51,0.672,29.8,0.876,2.74
Sandy,4.4,0.11,0.96,4.9,29,28,0.47,0.528,29.72,0.584,2.705
Sandy,4.6,0.07,0.57,2.4,18,59,0.43,0.048,28.29,0.855,2.947
Sandy,4.5,0.08,0.7,1.5,28,37,0.47,0.072,28.29,0.803,2.432
Sandy,4.5,0.09,0.84,2.9,48,199,0.48,0.096,28.21,0.754,2.568
Sandy,4.6,0.1,0.78,1.9,36,151,0.44,0.12,27.97,0.803,2.603
Sandy,4.5,0.09,0.88,3.4,28,100,0.48,0.096,28.61,0.852,2.603
Sandy,4.4,0.11,0.88,12.1,26,75,0.72,0.072,39.44,0.827,2.363
Sandy,4.4,0.09,1.26,7.8,28,146,0.78,0.096,36.33,0.608,2.808
Sandy,4.5,0.09,2.17,15.1,31,129,0.77,0.072,38.17,0.852,2.877
Sandy,4.4,0.1,1.33,16.5,22,43,0.76,0.072,38.99,0.99,2.123
Sandy,4.5,0.08,1.1,15.1,31,32,0.72,0.048,37.45,1.022,3.014
Sandy,5.6,0.11,1.48,10.7,29,2,1.59,0.312,2.83,2.61,4.35
Sandy,5.7,0.13,1.14,10.7,7,4,1.92,0.048,3.23,3.65,2.02
Sandy,5.9,0.05,0.06,6.8,12,2,2.08,0.72,3.11,2.79,2.76
Sandy,6,0.04,0.68,9.2,29,3,2.09,0.096,4.05,2.75,2.4
Sandy,6,0.02,0.05,5.8,14,2,1.54,0.288,4.19,2.83,2.25
Sandy,5.9,0.04,0.07,6.8,15,2,3.76,0.504,2.27,2.8,2.05
Sandy,7,0.2,0.59,12.1,21,3,2.18,4.152,3.98,3.44,2.49
Sandy,6.9,0.23,0.67,11.2,21,4,2.9,5.952,4.91,3.18,3.72
Sandy,6.9,0.28,0.57,11.2,23,2,2.93,2.688,4.26,3.64,3.12
Sandy,5.4,0.1,0.67,9.7,8,3,3.52,0.168,2.31,3.26,4.74
Sandy,5.5,0.06,0.23,5.8,12,2,0.3,0.696,4.89,3.56,3.6
Sandy,7,0.28,1.09,24.3,16,2,3.48,7.2,2.59,3.42,3.73
Sandy,7,0.34,1.69,26.7,20,3,2.83,6.24,4.71,3.88,3.94
Sandy,7,0.34,1.06,23.8,20,2,3.05,8.016,4.3,3.82,4.51
Sandy,6.8,0.32,0.71,10.2,19,3,2.87,3.216,3.66,5.12,3.92
Sandy,6.7,0.29,0.84,9.2,16,4,4.15,1.32,2.85,2.61,5.88
Sandy,6.8,0.27,0.71,12.6,19,2,0.65,1.56,3.22,6.33,5.35
Sandy,6.8,0.29,0.87,11.2,16,3,3.67,2.16,2.44,5.01,4.64
Sandy,6.9,0.33,0.81,10.2,19,4,3.9,1.92,2.64,5.36,3.4
Sandy,6.9,0.29,0.08,9.2,21,2,3.34,1.464,3.62,5.32,3.39
Sandy,4.4,0.11,0.83,12.1,24,388,0.7,0.048,37.13,0.827,2.637
Sandy,4.6,0.09,1.18,9.2,31,360,0.62,0.072,34.9,0.947,2.637
Sandy,4.8,0.06,1.28,6.3,59,179,0.27,0.624,29.48,0.633,1.606
Sandy,4.7,0.05,0.93,11.2,41,294,0.32,0.576,26.14,0.633,1.648
Sandy,4.8,0.06,0.74,4.9,45,85,0.36,0.192,28.13,0.633,1.493
Sandy,4.7,0.11,0.89,18.9,24,143,0.62,0.072,38.44,0.973,2.055
Sandy,4.8,0.1,0.99,35.9,22,2398,0.73,0.048,44.3,0.973,2.397
Sandy,4.7,0.12,1.02,25.7,28,718,0.61,0.96,44.3,0.9,2.123
Sandy,4.8,0.1,1.16,33,22,280,0.68,0.048,46.37,1.071,2.705
Sandy,4.8,0.1,1.02,35,26,2001,0.74,0.048,47.65,1.119,2.397
Sandy,4.4,0.08,1.02,44.2,13,402,0.55,0.144,49.88,0.925,2.877
Sandy,4.4,0.07,0.95,41.3,20,211,0.6,1.752,47.01,0.779,2.603
Sandy,4.6,0.06,1.2,46.1,19,81,0.69,0.048,48.61,0.949,2.637
Sandy,4.4,0.07,1.23,42.2,14,263,0.8,0.072,51.16,0.998,3.116
Sandy,4.4,0.07,0.8,39.3,15,97,0.77,0.072,38.25,0.803,3.527
Sandy,4.5,0.06,0.95,39.8,18,918,0.64,0.768,47.17,0.925,3.082
Sandy,4.5,0.07,0.8,41.3,18,1222,0.72,0.048,52.11,0.633,2.671
Sandy,4.4,0.07,0.87,38.8,16,704,0.65,1.776,52.71,0.9,2.911
Sandy,4.5,0.06,1.08,41.8,16,313,0.79,1.296,54.82,0.949,3.288
Sandy,4.6,0.09,1.01,34,26,1993,0.77,1.224,49.8,0.9,2.774
Sandy,5.1,0.03,0.81,10.2,17,40,0.87,0.864,16.34,0.248,5.21
Sandy,4.9,0.03,1.05,8.3,18,20,0.91,0.6,13.8,0.342,5.26
Sandy,5.1,0.03,1.12,8.3,23,28,0.84,0.36,11.79,0.466,3.21
Sandy,5.1,0.03,1.01,8.3,21,10,0.46,0.264,18.29,1.46,4.21
Sandy,5,0.03,0.02,9.7,22,95,0.54,0.288,30.21,1.894,3.25
Sandy,5.1,0.03,1.22,6.3,23,30,0.26,0.552,11.8,0.963,26.3
Sandy,5.1,0.03,0.69,8.3,17,53,0.89,0.6,6.27,1.335,2.774
Sandy,4.7,0.07,0.72,10.7,18,166,0.69,0.576,12.65,0.528,7.74
Sandy,5,0.04,1.29,10.7,22,167,0.68,0.6,11.35,1.491,6.32
Sandy,5.1,0.03,1.34,8.3,21,184,0.76,0.624,11.48,1.335,9.623
Sandy,5,0.03,1.03,32.5,31,373,0.89,0.048,8.635,0.714,8.93
Sandy,5,0.03,1.02,12.6,28,198,0.88,0.096,11.27,0.776,5.342
Sandy,4.9,0.03,0.48,12.1,24,16,0.88,0.048,13.96,0.311,5.71
Sandy,4.9,0.03,0.58,14.1,23,52,0.76,0.096,12.65,1.462,7.685
Sandy,4.8,0.03,0.92,14.6,28,61,0.88,0.072,56.23,1.516,5.856
Sandy,4.9,0.03,0.81,15.5,24,105,0.85,0.096,15.27,1.844,6.678
Sandy,5,0.03,0.76,20.9,27,114,0.68,0.24,15.8,1.544,8.836
Sandy,4.9,0.04,0.85,27.7,28,194,0.34,0.504,7.67,0.915,2.36
Sandy,4.7,0.11,0.72,21.9,28,207,0.79,0.312,10.04,0.571,53.2
Sandy,4.9,0.05,1.13,13.6,19,149,0.13,0.336,12.35,1.817,1.23
Sandy,4.9,0.04,0.84,18,23,10,0.57,0.936,16.58,1.899,3.25
Sandy,5.1,0.03,0.72,13.6,24,23,0.59,0.144,22.2,0.451,5.897
Sandy,4.8,0.05,0.83,14.1,28,8,0.73,0.048,11.79,0.423,5.274
Sandy,5,0.04,0.62,14.6,21,4,0.81,0.096,10.99,0.806,2.3
Sandy,5,0.05,1.37,11.7,16,2,0.27,0.048,19.47,0.669,4.418
Sandy,5,0.03,0.53,11.7,19,2,0.63,0.096,20.12,0.342,1.03
Sandy,5,0.03,0.83,9.2,28,2,1.15,0.144,19.43,1.079,8.53
Sandy,5,0.04,0.95,8.7,20,2,0.81,0.168,13.14,1.189,1.03
Sandy,5,0.03,1,11.7,27,2,0.76,0.096,23.35,0.861,2.03
Sandy,5,0.03,1.05,9.2,20,3,0.52,0.12,13.8,1.214,1.09
Sandy,5.5,0.04,0.85,10.7,21,62,0.5,0.048,10.12,1.27,8.35
Sandy,5.1,0.04,0.86,9.7,30,2,0.81,0.984,20.69,1.352,1.023
Sandy,5.2,0.05,1.01,6.8,30,2,0.76,0.168,11.28,0.943,8.63
Sandy,5.5,0.06,0.77,3.9,31,2,0.69,0.336,18.97,0.915,7.42
Sandy,5.6,0.07,0.84,3.9,43,2,0.23,0.168,33.44,0.533,3.02
Sandy,5.4,0.05,1.01,5.8,20,2,0.64,0.048,18,0.56,1.23
Sandy,5.1,0.04,0.98,7.8,17,2,0.97,0.216,13.64,0.396,6.3
Sandy,5,0.03,0.09,10.2,30,2,0.7,0.12,15.97,0.287,5.23
Sandy,5.2,0.05,0.76,4.9,17,2,0.92,0.048,19.43,0.587,5.63
Sandy,5.3,0.06,0.81,6.3,18,2,0.76,0.12,15.59,5.806,9.36
Sandy,4.9,0.11,0.91,10.7,46,26,0.75,0.048,39.6,1.971,7.74
Sandy,4.9,0.11,1.06,7.8,58,36,0.84,0.408,32.99,2.214,8.288
Sandy,4.9,0.12,1.05,6.3,39,31,0.87,0.216,34.58,2.214,9.623
Sandy,4.9,0.12,1.24,5.8,44,21,0.84,0.408,32.43,1.946,8.938
Sandy,5,0.1,1.05,3.9,16,28,2.86,0.816,41.51,8.751,5.342
Sandy,4.9,0.07,1.22,2.9,12,23,3.75,0.768,48.05,9.927,5.719
Sandy,4.8,0.08,0.96,3.4,15,30,3.29,0.696,51.31,11.36,7.685
Sandy,4.8,0.08,1.12,4.4,15,27,3.94,0.744,46.69,12.12,5.856
Sandy,4.8,0.08,1.33,2.9,18,30,4.4,0.6,50.44,10.88,6.678
Sandy,4.9,0.07,0.99,8.3,39,12,1.17,0.624,43.59,3.406,8.836
Sandy,4.9,0.11,1,16.5,35,37,0.89,0.048,39.52,2.336,8.014
Sandy,5,0.09,0.77,9.2,35,41,0.84,0.072,34.02,2.409,8.425
Sandy,4.9,0.1,1.23,22.8,65,20,0.94,0.048,35.5,2.19,8.836
Sandy,4.9,0.1,1.34,11.2,26,22,0.8,0.288,40.24,1.825,5.514
Sandy,5,0.08,0.66,13.1,22,20,0.63,0.312,37.21,1.338,5.897
Sandy,5,0.07,0.58,13.6,14,27,0.57,0.696,36.73,1.46,5.274
Sandy,5,0.09,1.23,8.7,20,16,0.69,0.36,41.35,1.582,5.205
Sandy,5,0.08,1.43,8.3,14,27,0.77,0.624,43.51,1.679,4.418
Sandy,5.1,0.09,1.03,7.3,23,46,3.02,0.12,45.42,7.737,5.342
Sandy,5,0.1,1.26,4.4,20,34,3.01,1.008,45.26,10.24,4.658
Sandy,4.8,0.05,0.85,1.5,37,363,0.42,0.048,26.69,0.925,1.688
Sandy,5.1,0.04,0.86,2.4,13,152,0.29,0.144,33.63,1.922,1.712
Sandy,4.8,0.04,1.38,3.4,15,210,0.24,3.336,19.36,2.141,1.712
Sandy,4.8,0.04,1.29,3.9,14,175,0.34,0.048,36.97,2.044,1.61
Sandy,4.8,0.03,1.16,2.4,12,188,0.27,1.488,35.14,1.946,1.541
Sandy,4.8,0.04,0.98,3.4,14,212,0.25,0.072,32.43,1.776,1.747
Sandy,4.7,0.04,1.03,4.4,13,615,0.3,0.096,35.54,2.019,1.781
Sandy,4.7,0.05,0.97,3.4,16,701,0.24,0.096,33.71,1.946,1.541
Sandy,4.7,0.03,1.52,5.8,13,602,0.26,0.072,35.94,1.922,1.644
Sandy,4.7,0.04,1.26,3.9,16,580,0.27,0.096,37.45,1.946,1.747
Sandy,4.6,0.04,1.29,1.9,18,725,0.35,0.984,37.08,2.051,1.747
Sandy,4.8,0.04,0.75,2.4,16,650,0.36,2.952,38.17,1.922,1.86
Sandy,4.8,0.04,0.86,1.9,16,125,0.22,0.096,34.82,1.849,1.404
Sandy,4.8,0.05,0.92,3.4,5,150,0.19,0.768,37.37,1.703,1.61
Sandy,4.9,0.04,1.03,3.9,19,660,0.34,2.088,35.7,2.238,1.644
Sandy,5.1,0.04,0.97,4.9,34,720,0.19,0.048,37.45,1.265,1.61
Sandy,5.1,0.04,1.25,5.8,30,385,0.24,0.096,40.16,1.071,1.747
Sandy,5.1,0.04,1.31,10.2,26,585,0.24,0.744,39.52,1.192,1.747
Sandy,5,0.05,1.25,6.8,33,670,0.31,0.6,38.41,1.144,1.747
Sandy,5.1,0.04,1.18,4.9,28,320,0.37,0.864,40.72,1.168,1.71
Sandy,5,0.02,0.92,8.3,17,2,0.72,0.648,18.12,0.248,3.025
Sandy,4.9,0.03,0.93,8.3,15,2,0.7,0.36,10.23,0.296,6.325
Sandy,4.9,0.03,1.08,10.2,16,3,0.18,0.48,35,0.632,23.02
Sandy,4.9,0.03,0.89,9.7,18,2,0.89,0.048,23.65,0.954,21.026
Sandy,4.9,0.02,1,10.2,15,3,1.06,0.792,6.27,0.178,12.035
Sandy,5,0.03,0.99,10.2,15,2,0.76,1.104,6.987,0.498,6.32
Sandy,5,0.03,0.93,9.2,14,2,0.88,0.24,5.289,0.588,5.24
Sandy,5,0.03,1.06,8.7,15,3,0.72,0.768,11.15,0.211,6.321
Sandy,4.9,0.02,0.98,10.2,17,2,0.7,0.6,15.98,0.811,5.023
