soil_type,ph,ec,oc,av_p,av_k,av_s,av_zn,av_b,av_fe,av_cu,av_mn
Sandy,5.1,0.08,0.73,3.4,64,5,0.7,0.36,35.33,0.884,3.972
Sandy,5,0.09,0.59,2.4,54,5,0.38,0.24,41.17,1.05,6.15
Sandy,5.2,0.08,0.66,1.9,49,4,0.36,0.12,44.23,1.077,3.242
Sandy,5.8,0.09,0.4,2.4,53,5,0.7,0.24,28.92,0.608,22.81
Red,6.3,0.15,0.65,38.4,70,60,0.66,0.96,17.24,2.861,27.8
Red,6.1,0.24,0.67,47.8,128,56,0.67,1.02,18.92,2.727,21.76
Red,6,0.21,0.94,28.9,111,73,0.29,0.3,5.73,1.321,2.542
Sandy,7.1,0.2,0.7,25.8,62,39,0.24,0.42,6.595,1.206,10.25
Red,6.4,0.11,0.6,14.1,65,59,0.31,0.36,6.378,1.202,9.131
Black,6,0.1,0.58,27.2,63,45,0.65,0.36,16.59,1.979,16.76
Red,6.4,0.16,1.23,14.3,231,88,0.42,2.34,4.919,1.711,2.479
Black,7.1,0.21,0.6,15.3,96,104,0.57,0.6,5.459,1.497,13.41
Sandy,7.1,0.36,0.83,14.1,194,160,0.3,0.6,8.541,1.578,16.72
Black,6.4,0.14,0.59,12.6,38,58,0.59,0.48,5.73,1.551,8.22
Red,6.3,0.18,0.82,65.4,228,80,0.65,0.36,11.62,1.765,8.199
Red,6.4,0.19,0.79,61.9,231,65,0.42,0.66,8.973,1.845,8.517
Sandy,6.6,0.16,0.65,27.9,55,71,0.73,0.6,4.486,1.684,7.733
Black,6.7,0.18,1.18,14.7,106,44,0.64,1.02,14.27,1.765,12.1
Red,6.7,0.19,1.07,17.6,118,60,0.74,1.62,5.243,1.845,8.305
Red,7.2,0.22,0.48,13.3,81,48,0.28,0.78,4.703,1.07,2.648
Sandy,6.4,0.19,0.8,11.6,46,74,0.45,0.24,10.76,1.711,8.199
Black,6.4,0.2,0.92,10.6,44,76,0.43,0.24,10.43,1.684,10.42
Red,6.5,0.18,0.85,12.6,65,93,0.26,0.12,6.811,1.417,7.119
Red,6.5,0.15,0.54,15.8,27,58,0.24,0.12,3.892,1.07,2.775
Black,7.8,0.13,0.11,9.8,31,89,0.14,1.38,4.273,0.869,3.458
Black,8.4,0.12,0.42,7.5,37,58,0.13,1.62,3.857,0.909,3.106
Black,8.5,0.13,0.26,13.7,193,57,0.2,1.68,2.794,1.111,1.705
Red,8.5,0.13,0.14,35.7,197,126,0.24,1.5,3.395,0.869,2.577
Black,8.5,0.12,0.19,22.9,34,87,0.17,1.44,3.811,0.889,2.9
Red,8.5,0.12,0.19,9.3,38,136,0.3,1.68,3.949,0.828,4.471
Red,8.6,0.14,0.17,10.7,37,86,0.26,1.74,2.887,1.394,1.256
Red,8.6,0.13,0.22,8.6,39,88,0.19,1.5,3.487,0.848,2.695
Red,5.8,0.07,0.52,13,58,88,0.27,1.5,10.37,0.404,11.62
Red,5.4,0.1,0.72,12.6,64,74,0.52,1.5,20.07,0.245,9.244
Red,6.2,0.07,0.37,17.9,119,70,0.42,1.5,6.49,0.545,6.189
Red,6.1,0.06,0.43,21.8,70,114,0.25,1.68,14.25,0.525,12.61
Red,8.1,0.14,0.16,30.8,34,75,0.16,1.8,3.025,1.232,2.151
Black,8.3,0.13,0.18,21.9,234,64,0.17,1.56,3.949,0.586,2.959
Red,8.5,0.15,0.16,14.3,39,74,0.16,1.8,2.794,1.172,1.457
Red,8.5,0.13,0.25,9.1,37,118,0.18,1.68,3.349,0.808,2.93
Red,8.4,0.14,0.23,40.7,37,81,0.13,1.74,3.718,0.909,3.032
Black,8.4,0.14,0.24,11.6,30,86,0.12,1.56,3.672,0.909,2.783
Red,8.5,0.14,0.27,11.9,229,159,0.11,1.98,3.903,0.97,2.959
Black,8.5,0.15,0.18,11.4,232,145,0.35,1.8,4.411,0.949,2.724
Sandy,8.1,0.17,0.44,4.9,57,24,0.78,1.512,4.962,2.163,3.463
Sandy,8,0.13,0.5,6.3,79,9,1,1.656,6.412,1.925,10.17
Sandy,7.9,0.14,0.5,5.8,61,7,0.98,1.248,5.802,3.744,9.056
Sandy,8,0.12,0.62,5.8,77,13,0.99,1.176,5.724,2.526,5.981
Sandy,7.9,0.12,0.5,4.9,66,9,0.96,1.464,6.263,2.578,7.241
Sandy,7.8,0.09,0.46,5.3,70,11,0.7,2.304,5.344,2.06,5.944
Sandy,7.9,0.12,0.5,3.9,58,18,0.75,1.296,6.336,2.345,6.574
Sandy,8,0.12,0.57,6.3,63,9,0.74,1.272,5.496,1.982,3.907
Sandy,7.9,0.13,0.59,4.4,62,22,0.61,1.464,5.344,1.93,3.056
Sandy,7.9,0.09,0.41,4.9,97,21,0.71,15.36,4.21,1.101,3.759
Sandy,7.9,0.1,0.42,4.9,62,7,0.98,1.248,4.896,1.231,4.315
Sandy,7.9,0.11,0.37,4.9,65,19,0.68,1.128,5.191,1.749,4.648
Sandy,7.9,0.11,0.41,3.4,80,17,0.76,0.84,4.656,1.153,4.574
Sandy,7.8,0.11,0.43,4.4,80,7,0.83,0.936,4.733,1.516,4.389
Sandy,7.7,0.12,0.49,4.4,45,20,0.91,0.336,10,3.329,7.13
Sandy,7.8,0.12,0.49,3.4,64,16,1.16,0.696,11.15,2.396,9.426
Sandy,7.9,0.14,0.49,3.9,52,11,0.71,0.984,6.84,2.085,5.685
Sandy,8.2,0.13,0.54,3.4,70,18,0.78,0.816,7.099,2.681,6.796
Sandy,8.1,0.14,0.35,4.4,82,25,0.5,0.576,4.275,1.179,4.907
Sandy,8.3,0.12,0.4,7.8,80,15,0.65,0.888,4.504,0.712,4.574
Sandy,6.3,0.07,0.46,10.2,62,12,0.67,0.72,43.42,1.538,10.64
Sandy,5.5,0.05,0.42,15.5,65,15,0.69,0.42,38.02,1.154,10.03
Sandy,5.3,0.06,0.4,7.8,45,20,0.68,0.36,36.13,1.192,17.87
